IdTweet,IdUser,UserName,ScreenName,Location,TweetAt,UploadTweet,OriginalTweet
1471461031113232388,1356181263510433795,Bang Mara 🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨,anjasmara_ferry,,2021-12-16 12:43:42,Twitter for Android,RT @Avilaspirit1: Selama @KPK_RI tidak menelusuri dana formula E berarti FIX 2024 si Anus akan bergandengan dgn Si Anak Pepo utk CAPRES CAW…
1471460986842279936,1358080544731328514,"Persimpangan 2024, NKRI",Katongontaganti,,2021-12-16 12:43:32,Twitter for Android,"@__AnakKolong @KPK_RI Fb lagi ya bang, 😊"
1471460975781957633,4700671753,Huang⎰♊,MsjHuang,,2021-12-16 12:43:29,Twitter for Android,RT @Avilaspirit1: Selama @KPK_RI tidak menelusuri dana formula E berarti FIX 2024 si Anus akan bergandengan dgn Si Anak Pepo utk CAPRES CAW…
1471460898191470598,1360575646653587465,Nana Sukma,NanaSukma77,,2021-12-16 12:43:11,Twitter for Android,@FerdinandHaean3 @KPK_RI Jk Juni 2022 Formula E berjalan lancar dan tdk ada masalah menurut @KPK_RI maka layakkah… https://t.co/GodVIVvLFr
1471460895121313793,1171454604,Lemon Anget,ikpilah,Indonesia,2021-12-16 12:43:10,Twitter for Android,"RT @madisnur: Pemerintah n DPR mau mengulang kembali cara pembahasan UU KPK dan Omnibus Law Cipta Kerja di RUU IKN

Terbukti kemudian melem…"
1471460882123137026,1159689173340585984,A K ™ |,__AnakKolong,Wherever you're not lookin',2021-12-16 12:43:07,Twitter Web App,RT @RekjanS: @__AnakKolong @KPK_RI Copot atau bubatkan
1471460877425516544,1314751542512160768,orangbiasa@ja,Erte56209029,,2021-12-16 12:43:06,Twitter for Android,"RT @rinidyah6: @cybsquad_ @KPK_RI Kepo juga...sampai mana nih KPK mengusut mapia pi ci er..??🤔🧐
Masa iya 
#KPKTakutUsutMafiaPCR ?
#KPKTakut…"
1471460696277721091,1344337807,Teddy S,TeddyS55073533,"East Java, Indonesia",2021-12-16 12:42:23,Twitter for Android,"@FerdinandHaean3 @KPK_RI Tanda bukti transfer ke formula E harus ditunjukkan dulu, bang."
1471460693157187589,1446306247511212035,Rustandi Sakti5660,AcatSakti,,2021-12-16 12:42:22,Twitter for Android,"RT @AngingMamiri26: Duh cammana mereka ini menyerahkan pengerjaan proyek ke kontraktor abal2.
Makanya pengerjaannya asal2an.

Pak @KPK_RI m…"
1471460663985729536,1326019005925085185,SemuaAkanBerlalu,akan_semua,,2021-12-16 12:42:15,Twitter for Android,"RT @OposisiCerdas: Jika Jokowi Tidak Jelaskan Sumber Uang Saham Kaesang, Muslim Arbi: KPK Wajib Usut karena Dicurigai Hasil Gratifikasi
htt…"
1471460628455772163,388190238,IDN Times,idntimes,,2021-12-16 12:42:06,dlvr.it,"Uang itu berasal dari dua koruptor yakni Sunjaya Purwadisastra selaku Bupati Cirebon 2014-2019, dan Fathor Rachman… https://t.co/edvsmGX2lf"
1471460596377796611,1158366189468278784,Yudha S. Santika,YudhaSSantika1,,2021-12-16 12:41:59,Twitter for Android,"RT @geloraco: Jika Jokowi Tidak Jelaskan Sumber Uang Saham Kaesang, Muslim Arbi: KPK Wajib Usut karena Dicurigai Hasil Gratifikasi
https://…"
1471460577226760199,1136331978494623749,Jaffa,Jaffa87808995,,2021-12-16 12:41:54,Twitter for Android,RT @BojanPozar: KPK bo! preiskovala @JJansaSDS :⬇️ https://t.co/wOpUBEy2S8
1471460543168868353,1159689173340585984,A K ™ |,__AnakKolong,Wherever you're not lookin',2021-12-16 12:41:46,Twitter Web App,"RT @fansGalGadot66: @__AnakKolong @KPK_RI Lsm mjd lembaga antibody dan ikut berpolitik jual agama, penegak pemberantasan korupsi pun ikut b…"
1471460421521403909,1228536775565406208,Abimanyu_KomengKangSablon_,fansGalGadot66,Pati - Jawa Tengah - Indonesia,2021-12-16 12:41:17,Twitter Web App,"@__AnakKolong @KPK_RI Lsm mjd lembaga antibody dan ikut berpolitik jual agama, penegak pemberantasan korupsi pun ik… https://t.co/ADgOWh15mf"
1471460375065292800,1396559423766601731,Dian Hernawati,DianHernawati5,"Papua Barat, Indonesia",2021-12-16 12:41:06,Twitter for Android,"Cegah Korupsi Dengan Cara Luar Biasa

Untuk Indonesia Bebas Dari Korupsi

#KPK #KPKRI https://t.co/c4UdWld1mA"
1471460339963158530,1384628100000993285,nyong manise,akunkelima10,ambon manise ,2021-12-16 12:40:58,Twitter for Android,"@brader_akbar Fitnah 😂🤣😂😂😂otak lo perlu diperiksa tolol lo ga nanya kpk ,ma jokowi kenapa ga diperiksa manusia mulu… https://t.co/vYEx9gdDNN"
1471460324674924546,1492981412,r-dyp,RPradypta,Indonesia,2021-12-16 12:40:54,Twitter for Android,@Vie4nne @KPK_RI Ayo nak @kaesangp ngomong yg jujur...ditunggu lho sama rakyat
1471460322682703875,898115712044089344,Pejuang Nasi Bungkus™️🇮🇩,quintta1217,"East Borneo, Indonesia",2021-12-16 12:40:53,Twitter for Android,Sebagai pengantar malam Jumat mungkin apa yg dikatakan mantan duet ikan buntal. Sangat relevan untuk menelisik misi… https://t.co/uChQbbTrnq
1471460200037040132,1254427624664788993,Cakjanresit71,RekjanS,,2021-12-16 12:40:24,Twitter for Android,@__AnakKolong @KPK_RI Copot atau bubatkan
1471460179749130244,709346542369386496,Darwis Anjepa,darwis_anjepa,"Sulawesi Selatan, Indonesia",2021-12-16 12:40:19,Twitter for Android,"@FerdinandHaean3 @KPK_RI Kasihan orang ini tiada hari tanpa mencari kesalahan pak @aniesbaswedan  , sepertinya dia saja yang punya indonesia"
1471460137353187328,3416450299,Amir Faesal #YNWA,Amir_Faesal70,"Depok, Indonesia",2021-12-16 12:40:09,Twitter for Android,@Avilaspirit1 @KPK_RI Tinggal berantem dech siapa yg Mau jadi  capres 😁.
1471460135692210176,73024566,Lubna Haneen Ayunda,king_phinokowie,"Jakarta Selatan, DKI Jakarta",2021-12-16 12:40:09,Twitter for Android,"RT @geloraco: Jika Jokowi Tidak Jelaskan Sumber Uang Saham Kaesang, Muslim Arbi: KPK Wajib Usut karena Dicurigai Hasil Gratifikasi
https://…"
1471460101009539072,258710609,Andrew Surya 🇮🇩,Andrew__Surya,"Buenos Aires, Argentina",2021-12-16 12:40:01,Twitter for Android,RT @Avilaspirit1: Selama @KPK_RI tidak menelusuri dana formula E berarti FIX 2024 si Anus akan bergandengan dgn Si Anak Pepo utk CAPRES CAW…
1471460072819625986,1329333820609372161,Ellena Diandra Sanjoyo,elensanjoyo84,Ngajogyakarta Hadiningrat,2021-12-16 12:39:54,Twitter for Android,"RT @__AnakKolong: HANYA ULAR TOA YANG LICIN &amp; SULIT DIJERAT | terlebih ada aroma kura-kura Bone, kebo Cikeas di sekitar Ketua @KPK_RI, lalu…"
1471460024857759752,1254427624664788993,Cakjanresit71,RekjanS,,2021-12-16 12:39:42,Twitter for Android,"RT @__AnakKolong: HANYA ULAR TOA YANG LICIN &amp; SULIT DIJERAT | terlebih ada aroma kura-kura Bone, kebo Cikeas di sekitar Ketua @KPK_RI, lalu…"
1471459970222678018,890934467409215488,Official : Kang Cir3ng®️ by N҉I҉N҉J҉A҉ K҉U҉R҉O҉ส้้,NinjaCir3ng,FULL Throttle VACCINATED 💉,2021-12-16 12:39:29,Twitter for iPhone,"RT @__AnakKolong: HANYA ULAR TOA YANG LICIN &amp; SULIT DIJERAT | terlebih ada aroma kura-kura Bone, kebo Cikeas di sekitar Ketua @KPK_RI, lalu…"
1471459928241946624,1451869982275485708,Pengembala,Pengemb41255385,"Jawa Timur, Indonesia",2021-12-16 12:39:19,Twitter for Android,"RT @__AnakKolong: HANYA ULAR TOA YANG LICIN &amp; SULIT DIJERAT | terlebih ada aroma kura-kura Bone, kebo Cikeas di sekitar Ketua @KPK_RI, lalu…"
1471459865964994561,1451869982275485708,Pengembala,Pengemb41255385,"Jawa Timur, Indonesia",2021-12-16 12:39:05,Twitter for Android,"RT @FerdinandHaean3: Jk gagal Juni 2022, mk Anies Baswedan hrs dipenjarakan karena telah merugikan keuangan negara sangat besar..!!! Rakyat…"
1471459831974293506,1228536775565406208,Abimanyu_KomengKangSablon_,fansGalGadot66,Pati - Jawa Tengah - Indonesia,2021-12-16 12:38:57,Twitter Web App,"RT @__AnakKolong: HANYA ULAR TOA YANG LICIN &amp; SULIT DIJERAT | terlebih ada aroma kura-kura Bone, kebo Cikeas di sekitar Ketua @KPK_RI, lalu…"
